Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 VALE DO GURGUEIA (CRISTIANO CASTRO);82870;-8.44166666;-43.86555555;64-10;64-10;64-10
 SAO JOAO DO PIAUI;82879;-8.365;-42.25027777;64-10;64-10;64-10
 PAULISTA;82882;-8.13222221;-41.14305555;64-10;64-10;64-10
 CABROBO;82886;-8.50388888;-39.31527777;64-10;64-10;64-10
 ARCOVERDE;82890;-8.433537;-37.055365;58-10;58-10;64-10
 PESQUEIRA;82892;-8.370701;-36.707812;58-10;58-10;58-10
 GARANHUNS;82893;-8.91083333;-36.49333333;58-10;58-10;58-10
 RECIFE (CURADO);82900;-8.05916666;-34.95916666;58-10;58-10;58-10
 RIO BRANCO;82915;-9.95916666;-67.86888888;64-10;64-10;64-10
 ALTO PARIBA;82970;-9.10833333;-45.9486111;64-10;64-10;64-10
 BOM JESUS DO PIAUI;82975;-9.06611111;-44.36527777;64-10;64-10;70-10
 CARACOL;82976;-9.28583333;-43.32444443;64-10;64-10;64-10
 REMANSO;82979;-9.625699;-42.077217;64-10;64-10;64-10
 PETROLI;82983;-9.3886111;-40.52333332;64-10;64-10;64-10
 PAULO AFONSO;82986;-9.378106;-38.226771;64-10;64-10;64-10
 AGUA BRANCA;82989;-9.26472222;-37.93805555;58-10;58-10;58-10
 PAO DE ACUCAR;82990;-9.74916666;-37.43083332;64-10;64-10;64-10
 PALMEIRA DOS INDIOS;82992;-9.42027777;-36.62027777;64-10;64-10;64-10
 MACEIO;82994;-9.55138888;-35.77083332;58-10;58-10;58-10
 PORTO DE PEDRAS;82996;-9.162012;-35.299881;58-10;58-10;58-10
 ALTO DA BOA VISTA;83007;-22.96583333;-43.27916666;58-10;64-10;64-10
 MUNIZ FREIRE;83013;-20.46583333;-41.41194444;58-10;64-10;64-10
 MARIA DA FE;83015;-22.31444444;-45.37305554;58-10;58-10;58-10
 LAMBARI;83032;-21.944146;-45.317739;58-10;58-10;64-10
 PALMAS;83033;-10.190897;-48.301822;64-10;64-10;64-10
 ITARA;83034;-19.87423;-40.872959;64-10;64-10;64-10
 RIO BONITO;83048;-22.7125;-42.64666666;64-10;64-10;64-10
 AVELAR (P.DO ALFERES);83049;-22.34749999;-43.41777777;58-10;64-10;64-10
 PORTO CIOL;83064;-10.71083333;-48.40638888;64-10;64-10;64-10
 GUARULHOS;83075;-23.470981;-46.533559;58-10;58-10;64-10
 STa. R. DE CASSIA (IBIPETUBA);83076;-11.002765;-44.52496;64-10;64-10;64-10
 SENHOR DO BONFIM;83088;-10.443072;-40.148244;58-10;64-10;64-10
 MARICA;83089;-22.920653;-42.83;58-10;64-10;64-10
 MONTE SANTO;83090;-10.44249999;-39.33083332;64-10;64-10;64-10
 ARACAJU;83096;-10.9525;-37.05444444;58-10;58-10;58-10
 PROPRIA;83097;-10.21376;-36.842198;64-10;64-10;64-10
 IGUABA GRANDE;83114;-22.84694444;-42.18555555;58-10;64-10;64-10
 BARRA;83179;-11.084858;-43.138998;64-10;64-10;64-10
 IRECE;83182;-11.31138888;-41.85861111;58-10;64-10;64-10
 MORRO DO CHAPEU;83184;-11.547494;-41.151165;58-10;58-10;58-10
 JACOBI;83186;-11.17277777;-40.53416666;58-10;64-10;64-10
 SERRINHA;83190;-11.66805554;-39.00194444;64-10;64-10;64-10
 CIPO;83192;-11.10138888;-38.52416666;64-10;64-10;64-10
 ITABAIANINHA;83195;-11.272334;-37.794973;58-10;64-10;64-10
 MATUPA;83214;-10.19166666;-54.9461111;64-10;64-10;64-10
 FEIRA DE SANTA;83221;-12.1961111;-38.96722221;64-10;64-10;64-10
 PEIXE;83228;-12.01527777;-48.54499999;64-10;64-10;64-10
 SALVADOR (ONDI);83229;-13.00583333;-38.50583333;58-10;58-10;58-10
 TAGUATINGA;83235;-12.40222222;-46.43833333;64-10;64-10;64-10
 BARREIRAS;83236;-12.155843;-45.008269;64-10;64-10;64-10
 LENCOIS;83242;-12.557854;-41.388808;58-10;64-10;64-10
 ITABERABA;83244;-12.52416666;-40.29972221;64-10;64-10;64-10
 ALAGOINHAS;83249;-12.1486111;-38.42527777;64-10;64-10;64-10
 GLEBA CELESTE;83264;-12.288562;-55.294071;64-10;64-10;64-10
 SAO JOSE DO RIO CLARO;83267;-13.453982;-56.677323;64-10;64-10;64-10
 CARA;83270;-13.47083332;-52.2711111;64-10;64-10;64-10
 CORRENTI;83286;-13.332407;-44.617374;64-10;64-10;64-10
 BOM JESUS DA LAPA;83288;-13.251097;-43.405365;64-10;64-10;64-10
 ITUACU;83292;-13.812876;-41.299852;58-10;64-10;64-10
 ITIRUCU (JAGUAQUARA);83295;-13.527828;-40.119752;58-10;58-10;58-10
 DIAMANTINO;83309;-14.40611111;-56.44694444;64-10;64-10;64-10
 NOVA XAV.(XAVANTI);83319;-14.697917;-52.350226;64-10;64-10;70-10
 POSSE;83332;-14.08907;-46.36653;64-10;64-10;64-10
 FORMOSO;83334;-14.949727;-46.235795;64-10;64-10;64-10
 ESPINOSA;83338;-14.91222222;-42.80861111;64-10;64-10;64-10
 CAETITE;83339;-14.07277777;-42.48722221;58-10;58-10;58-10
 VITORIA DA CONQUISTA;83344;-14.88638888;-40.80138888;58-10;58-10;58-10
 POXOREO;83358;-15.82749999;-54.39555555;64-10;64-10;70-10
 CUIABA;83361;-15.61999999;-56.10888888;64-10;64-10;70-10
 SAO VICENTE;83363;-15.82305554;-55.41888888;58-10;64-10;64-10
 PADRE RICARDO REMETTER;83364;-15.776;-56.072;64-10;64-10;64-10
 ARAGARCAS;83368;-15.9025;-52.24527777;64-10;64-10;64-10
 RONCADOR;83373;-15.94638888;-47.88416666;58-10;58-10;58-10
 GOIAS;83374;-15.93972221;-50.14194444;64-10;64-10;64-10
 PIRENOPOLIS;83376;-15.85472222;-48.96611111;64-10;64-10;64-10
 BRASILIA;83377;-15.78972221;-47.92583332;58-10;58-10;64-10
 FORMOSA;83379;-15.54916666;-47.33888888;58-10;64-10;64-10
 ARINOS;83384;-15.91527777;-46.10722222;64-10;64-10;64-10
 JANUARIA;83386;-15.448054;-44.366321;64-10;64-10;64-10
 MONTE AZUL;83388;-15.160374;-42.866344;64-10;64-10;64-10
 MOCAMBINHO;83389;-15.086015;-44.016223;64-10;64-10;64-10
 PEDRA AZUL;83393;-16.00956;-41.281027;58-10;64-10;64-10
 JAUBA;83395;-15.802909;-43.297092;64-10;64-10;64-10
 CAVIEIRAS;83398;-15.673259;-38.961051;58-10;58-10;58-10
 CACERES;83405;-16.049639;-57.680826;64-10;64-10;64-10
 CARINHANHA;83408;-14.29749999;-43.77138888;64-10;64-10;64-10
 RONDONOPOLIS;83410;-16.462416;-54.580143;64-10;64-10;64-10
 GOIANIA;83423;-16.67305554;-49.26388888;64-10;64-10;64-10
 UI;83428;-16.366268;-46.889321;64-10;64-10;64-10
 MONTES CLAROS;83437;-16.68638888;-43.84388888;64-10;64-10;64-10
 SALIS;83441;-16.154862;-42.284921;64-10;64-10;64-10
 ARACUAI;83442;-16.84888888;-42.06083333;64-10;64-10;64-10
 GUARATINGA;83446;-16.58081;-39.783182;58-10;64-10;64-10
 JURAMENTO;83452;-16.775057;-43.667085;64-10;64-10;64-10
 JATAI;83464;-17.9236111;-51.71749999;64-10;64-10;64-10
 RIO VERDE;83470;-17.78527777;-50.96472222;64-10;64-10;64-10
 PARACATU;83479;-17.24416666;-46.88166666;64-10;64-10;64-10
